pdbID,Ligand,Method,Resolution,Organism_Name,Organism_TaxID,EMDB_for_EMRelease,Pub_Title,Pub_Authors,Pub_Journal,Pub_Year,Pub_PubMed,Pub_DOI,Coord_File,EM_Map_File
6FOS,BCR,X-RAY DIFFRACTION,4.0,Cyanidioschyzon merolae strain 10D,280699,N/A,Structure and function of photosystem I in Cyanidioschyzon merolae.,"Antoshvili, M., Caspy, I., Hippler, M., Nelson, N.",Photosyn. Res.,2019,N/A,N/A,6FOS.cif,N/A
6HQB,BCR,X-RAY DIFFRACTION,4.0,Synechocystis sp. PCC 6803 substr. Kazusa,1111708,N/A,Crystal Structure of Photosystem I Monomer From Synechocystis PCC 6803.,"Netzer-El, S.Y., Caspy, I., Nelson, N.",Front Plant Sci,2018,N/A,N/A,6HQB.cif,N/A
6HUM,BCR,ELECTRON MICROSCOPY,3.34,Thermosynechococcus vestitus BP-1,197221,EMD-0281,Structural adaptations of photosynthetic complex I enable ferredoxin-dependent electron transfer.,"Schuller, J.M., Birrell, J.A., Tanaka, H., Konuma, T., Wulfhorst, H., Cox, N., Schuller, S.K., Thiemann, J., Lubitz, W., Setif, P., Ikegami, T., Engel, B.D., Kurisu, G., Nowaczyk, M.M.",Science,2019,N/A,N/A,6HUM.cif,emd_0281.map.gz
6IJJ,BCR,ELECTRON MICROSCOPY,2.89,Chlamydomonas reinhardtii,3055,EMD-9678,Antenna arrangement and energy transfer pathways of a green algal photosystem-I-LHCI supercomplex.,"Su, X., Ma, J., Pan, X., Zhao, X., Chang, W., Liu, Z., Zhang, X., Li, M.",Nat Plants,2019,N/A,N/A,6IJJ.cif,emd_9678.map.gz
6IJO,BCR,ELECTRON MICROSCOPY,3.3,Chlamydomonas reinhardtii,3055,EMD-9680,Antenna arrangement and energy transfer pathways of a green algal photosystem-I-LHCI supercomplex.,"Su, X., Ma, J., Pan, X., Zhao, X., Chang, W., Liu, Z., Zhang, X., Li, M.",Nat Plants,2019,N/A,N/A,6IJO.cif,emd_9680.map.gz
6J3Y,BCR,ELECTRON MICROSCOPY,3.3,Chaetoceros neogracilis,240364,EMD-9775,Structural basis for energy harvesting and dissipation in a diatom PSII-FCPII supercomplex.,"Nagao, R., Kato, K., Suzuki, T., Ifuku, K., Uchiyama, I., Kashino, Y., Dohmae, N., Akimoto, S., Shen, J.R., Miyazaki, N., Akita, F.",Nat.Plants,2019,N/A,N/A,6J3Y.cif,emd_9775.map.gz
6J3Z,BCR,ELECTRON MICROSCOPY,3.6,Chaetoceros neogracilis,240364,EMD-9776,Structural basis for energy harvesting and dissipation in a diatom PSII-FCPII supercomplex.,"Nagao, R., Kato, K., Suzuki, T., Ifuku, K., Uchiyama, I., Kashino, Y., Dohmae, N., Akimoto, S., Shen, J.R., Miyazaki, N., Akita, F.",Nat.Plants,2019,N/A,N/A,6J3Z.cif,emd_9776.map.gz
6J40,BCR,ELECTRON MICROSCOPY,3.8,Chaetoceros neogracilis,240364,EMD-9777,Structural basis for energy harvesting and dissipation in a diatom PSII-FCPII supercomplex.,"Nagao, R., Kato, K., Suzuki, T., Ifuku, K., Uchiyama, I., Kashino, Y., Dohmae, N., Akimoto, S., Shen, J.R., Miyazaki, N., Akita, F.",Nat.Plants,2019,N/A,N/A,6J40.cif,emd_9777.map.gz
6JEO,BCR,ELECTRON MICROSCOPY,3.3,Nostoc sp. PCC 7120 = FACHB-418,103690,EMD-9807,Structure of a cyanobacterial photosystem I tetramer revealed by cryo-electron microscopy.,"Kato, K., Nagao, R., Jiang, T.Y., Ueno, Y., Yokono, M., Chan, S.K., Watanabe, M., Ikeuchi, M., Shen, J.R., Akimoto, S., Miyazaki, N., Akita, F.",Nat Commun,2019,N/A,N/A,6JEO.cif,emd_9807.map.gz
6JLJ,BCR,X-RAY DIFFRACTION,2.15,Thermostichus vulcanus,32053,N/A,An oxyl/oxo mechanism for oxygen-oxygen coupling in PSII revealed by an x-ray free-electron laser.,"Suga, M., Akita, F., Yamashita, K., Nakajima, Y., Ueno, G., Li, H., Yamane, T., Hirata, K., Umena, Y., Yonekura, S., Yu, L.J., Murakami, H., Nomura, T., Kimura, T., Kubo, M., Baba, S., Kumasaka, T., Tono, K., Yabashi, M., Isobe, H., Yamaguchi, K., Yamamoto, M., Ago, H., Shen, J.R.",Science,2019,N/A,N/A,6JLJ.cif,N/A
6JLK,BCR,X-RAY DIFFRACTION,2.15,Thermostichus vulcanus,32053,N/A,An oxyl/oxo mechanism for oxygen-oxygen coupling in PSII revealed by an x-ray free-electron laser.,"Suga, M., Akita, F., Yamashita, K., Nakajima, Y., Ueno, G., Li, H., Yamane, T., Hirata, K., Umena, Y., Yonekura, S., Yu, L.J., Murakami, H., Nomura, T., Kimura, T., Kubo, M., Baba, S., Kumasaka, T., Tono, K., Yabashi, M., Isobe, H., Yamaguchi, K., Yamamoto, M., Ago, H., Shen, J.R.",Science,2019,N/A,N/A,6JLK.cif,N/A
6JLL,BCR,X-RAY DIFFRACTION,2.15,Thermostichus vulcanus,32053,N/A,An oxyl/oxo mechanism for oxygen-oxygen coupling in PSII revealed by an x-ray free-electron laser.,"Suga, M., Akita, F., Yamashita, K., Nakajima, Y., Ueno, G., Li, H., Yamane, T., Hirata, K., Umena, Y., Yonekura, S., Yu, L.J., Murakami, H., Nomura, T., Kimura, T., Kubo, M., Baba, S., Kumasaka, T., Tono, K., Yabashi, M., Isobe, H., Yamaguchi, K., Yamamoto, M., Ago, H., Shen, J.R.",Science,2019,N/A,N/A,6JLL.cif,N/A
6JLM,BCR,X-RAY DIFFRACTION,2.35,Thermostichus vulcanus,32053,N/A,An oxyl/oxo mechanism for oxygen-oxygen coupling in PSII revealed by an x-ray free-electron laser.,"Suga, M., Akita, F., Yamashita, K., Nakajima, Y., Ueno, G., Li, H., Yamane, T., Hirata, K., Umena, Y., Yonekura, S., Yu, L.J., Murakami, H., Nomura, T., Kimura, T., Kubo, M., Baba, S., Kumasaka, T., Tono, K., Yabashi, M., Isobe, H., Yamaguchi, K., Yamamoto, M., Ago, H., Shen, J.R.",Science,2019,N/A,N/A,6JLM.cif,N/A
6JLN,BCR,X-RAY DIFFRACTION,2.4,Thermostichus vulcanus,32053,N/A,An oxyl/oxo mechanism for oxygen-oxygen coupling in PSII revealed by an x-ray free-electron laser.,"Suga, M., Akita, F., Yamashita, K., Nakajima, Y., Ueno, G., Li, H., Yamane, T., Hirata, K., Umena, Y., Yonekura, S., Yu, L.J., Murakami, H., Nomura, T., Kimura, T., Kubo, M., Baba, S., Kumasaka, T., Tono, K., Yabashi, M., Isobe, H., Yamaguchi, K., Yamamoto, M., Ago, H., Shen, J.R.",Science,2019,N/A,N/A,6JLN.cif,N/A
6JLO,BCR,X-RAY DIFFRACTION,2.4,Thermostichus vulcanus,32053,N/A,An oxyl/oxo mechanism for oxygen-oxygen coupling in PSII revealed by an x-ray free-electron laser.,"Suga, M., Akita, F., Yamashita, K., Nakajima, Y., Ueno, G., Li, H., Yamane, T., Hirata, K., Umena, Y., Yonekura, S., Yu, L.J., Murakami, H., Nomura, T., Kimura, T., Kubo, M., Baba, S., Kumasaka, T., Tono, K., Yabashi, M., Isobe, H., Yamaguchi, K., Yamamoto, M., Ago, H., Shen, J.R.",Science,2019,N/A,N/A,6JLO.cif,N/A
6JLP,BCR,X-RAY DIFFRACTION,2.5,Thermostichus vulcanus,32053,N/A,An oxyl/oxo mechanism for oxygen-oxygen coupling in PSII revealed by an x-ray free-electron laser.,"Suga, M., Akita, F., Yamashita, K., Nakajima, Y., Ueno, G., Li, H., Yamane, T., Hirata, K., Umena, Y., Yonekura, S., Yu, L.J., Murakami, H., Nomura, T., Kimura, T., Kubo, M., Baba, S., Kumasaka, T., Tono, K., Yabashi, M., Isobe, H., Yamaguchi, K., Yamamoto, M., Ago, H., Shen, J.R.",Science,2019,N/A,N/A,6JLP.cif,N/A
6JLU,BCR,ELECTRON MICROSCOPY,3.02,Chaetoceros neogracilis,240364,EMD-9839,The pigment-protein network of a diatom photosystem II-light-harvesting antenna supercomplex.,"Pi, X., Zhao, S., Wang, W., Liu, D., Xu, C., Han, G., Kuang, T., Sui, S.F., Shen, J.R.",Science,2019,N/A,N/A,6JLU.cif,emd_9839.map.gz
6JO5,BCR,ELECTRON MICROSCOPY,2.9,Chlamydomonas reinhardtii,3055,EMD-9853,Structure of the green algal photosystem I supercomplex with a decameric light-harvesting complex I.,"Suga, M., Ozawa, S.I., Yoshida-Motomura, K., Akita, F., Miyazaki, N., Takahashi, Y.",Nat.Plants,2019,N/A,N/A,6JO5.cif,emd_9853.map.gz
6JO6,BCR,ELECTRON MICROSCOPY,2.9,Chlamydomonas reinhardtii,3055,EMD-9854,Structure of the green algal photosystem I supercomplex with a decameric light-harvesting complex I.,"Suga, M., Ozawa, S.I., Yoshida-Motomura, K., Akita, F., Miyazaki, N., Takahashi, Y.",Nat.Plants,2019,N/A,N/A,6JO6.cif,emd_9854.map.gz
6K33,BCR,ELECTRON MICROSCOPY,2.74,Thermostichus vulcanus,32053,EMD-9908,Structure of a cyanobacterial photosystem I surrounded by octadecameric IsiA antenna proteins.,"Akita, F., Nagao, R., Kato, K., Nakajima, Y., Yokono, M., Ueno, Y., Suzuki, T., Dohmae, N., Shen, J.R., Akimoto, S., Miyazaki, N.",Commun Biol,2020,N/A,N/A,6K33.cif,emd_9908.map.gz
6K61,BCR,ELECTRON MICROSCOPY,2.37,Nostoc sp. PCC 7120 = FACHB-418,103690,EMD-9918,Structural and functional insights into the tetrameric photosystem I from heterocyst-forming cyanobacteria.,"Zheng, L., Li, Y., Li, X., Zhong, Q., Li, N., Zhang, K., Zhang, Y., Chu, H., Ma, C., Li, G., Zhao, J., Gao, N.",Nat.Plants,2019,N/A,N/A,6K61.cif,emd_9918.map.gz
6KAC,BCR,ELECTRON MICROSCOPY,2.7,Chlamydomonas reinhardtii,3055,EMD-9955,Structural insight into light harvesting for photosystem II in green algae.,"Sheng, X., Watanabe, A., Li, A., Kim, E., Song, C., Murata, K., Song, D., Minagawa, J., Liu, Z.",Nat.Plants,2019,N/A,N/A,6KAC.cif,emd_9955.map.gz
6KAD,BCR,ELECTRON MICROSCOPY,3.4,Chlamydomonas reinhardtii,3055,EMD-9956,Structural insight into light harvesting for photosystem II in green algae.,"Sheng, X., Watanabe, A., Li, A., Kim, E., Song, C., Murata, K., Song, D., Minagawa, J., Liu, Z.",Nat.Plants,2019,N/A,N/A,6KAD.cif,emd_9956.map.gz
6KAF,BCR,ELECTRON MICROSCOPY,3.73,Chlamydomonas reinhardtii,3055,EMD-9957,Structure of a C2S2M2N2-type PSII-LHCII supercomplex from the green algaChlamydomonas reinhardtii.,"Shen, L., Huang, Z., Chang, S., Wang, W., Wang, J., Kuang, T., Han, G., Shen, J.R., Zhang, X.",Proc.Natl.Acad.Sci.USA,2019,N/A,N/A,6KAF.cif,emd_9957.map.gz
6KHI,BCR,ELECTRON MICROSCOPY,3.0,Thermosynechococcus vestitus BP-1,197221,EMD-9989,Structural basis for electron transport mechanism of complex I-like photosynthetic NAD(P)H dehydrogenase.,"Pan, X., Cao, D., Xie, F., Xu, F., Su, X., Mi, H., Zhang, X., Li, M.",Nat Commun,2020,N/A,N/A,6KHI.cif,emd_9989.map.gz
6KHJ,BCR,ELECTRON MICROSCOPY,3.0,Thermosynechococcus vestitus BP-1,197221,EMD-9990,Structural basis for electron transport mechanism of complex I-like photosynthetic NAD(P)H dehydrogenase.,"Pan, X., Cao, D., Xie, F., Xu, F., Su, X., Mi, H., Zhang, X., Li, M.",Nat Commun,2020,N/A,N/A,6KHJ.cif,emd_9990.map.gz
6KIF,BCR,ELECTRON MICROSCOPY,3.3,Synechococcus elongatus PCC 7942 = FACHB-805,1140,EMD-9994,Structural basis for energy and electron transfer of the photosystem I-IsiA-flavodoxin supercomplex.,"Cao, P., Cao, D., Si, L., Su, X., Tian, L., Chang, W., Liu, Z., Zhang, X., Li, M.",Nat.Plants,2020,N/A,N/A,6KIF.cif,emd_9994.map.gz
6KIG,BCR,ELECTRON MICROSCOPY,2.9,Synechococcus elongatus PCC 7942 = FACHB-805,1140,EMD-9995,Structural basis for energy and electron transfer of the photosystem I-IsiA-flavodoxin supercomplex.,"Cao, P., Cao, D., Si, L., Su, X., Tian, L., Chang, W., Liu, Z., Zhang, X., Li, M.",Nat.Plants,2020,N/A,N/A,6KIG.cif,emd_9995.map.gz
6KMW,BCR,ELECTRON MICROSCOPY,2.35,Halomicronema hongdechloris C2206,1641165,EMD-0726,Structural basis for the adaptation and function of chlorophyll f in photosystem I.,"Kato, K., Shinoda, T., Nagao, R., Akimoto, S., Suzuki, T., Dohmae, N., Chen, M., Allakhverdiev, S.I., Shen, J.R., Akita, F., Miyazaki, N., Tomo, T.",Nat Commun,2020,N/A,N/A,6KMW.cif,emd_0726.map.gz
6KMX,BCR,ELECTRON MICROSCOPY,2.41,Halomicronema hongdechloris C2206,1641165,EMD-0727,Structural basis for the adaptation and function of chlorophyll f in photosystem I.,"Kato, K., Shinoda, T., Nagao, R., Akimoto, S., Suzuki, T., Dohmae, N., Chen, M., Allakhverdiev, S.I., Shen, J.R., Akita, F., Miyazaki, N., Tomo, T.",Nat Commun,2020,N/A,N/A,6KMX.cif,emd_0727.map.gz
6L35,BCR,ELECTRON MICROSCOPY,3.23,Physcomitrium patens,3218,EMD-0821,Antenna arrangement and energy-transfer pathways of PSI-LHCI from the moss Physcomitrella patens.,"Yan, Q., Zhao, L., Wang, W., Pi, X., Han, G., Wang, J., Cheng, L., He, Y.K., Kuang, T., Qin, X., Sui, S.F., Shen, J.R.",Cell Discov,2021,N/A,N/A,6L35.cif,emd_0821.map.gz
6L4U,BCR,ELECTRON MICROSCOPY,2.4,Chaetoceros neogracilis,240364,EMD-0835,Structure of photosystem I-light-harvesting supercomplex from a red-lineage diatom,"Nagao, R., Kato, K., Ifuku, K., Suzuki, T., Kumazawa, M., Uchiyama, I., Kashino, Y., Dohmae, N., Akimoto, S., Shen, J.R., Miyazaki, N., Akita, F.",Nat Commun,2020,N/A,N/A,6L4U.cif,emd_0835.map.gz
6L7O,BCR,ELECTRON MICROSCOPY,3.2,Thermosynechococcus vestitus BP-1,197221,EMD-0849,Structural insights into NDH-1 mediated cyclic electron transfer.,"Zhang, C., Shuai, J., Ran, Z., Zhao, J., Wu, Z., Liao, R., Wu, J., Ma, W., Lei, M.",Nat Commun,2020,N/A,N/A,6L7O.cif,emd_0849.map.gz
6L7P,BCR,ELECTRON MICROSCOPY,3.6,Thermosynechococcus vestitus BP-1,197221,EMD-0850,Structural insights into NDH-1 mediated cyclic electron transfer.,"Zhang, C., Shuai, J., Ran, Z., Zhao, J., Wu, Z., Liao, R., Wu, J., Ma, W., Lei, M.",Nat Commun,2020,N/A,N/A,6L7P.cif,emd_0850.map.gz
6LU1,BCR,ELECTRON MICROSCOPY,3.2,Thermosynechococcus vestitus BP-1,197221,EMD-0977,Cryo-EM structure of a functional monomeric Photosystem I from Thermosynechococcus elongatus reveals red chlorophyll cluster.,"Coruh, O., Frank, A., Tanaka, H., Kawamoto, A., El-Mohsnawy, E., Kato, T., Namba, K., Gerle, C., Nowaczyk, M.M., Kurisu, G.",Commun Biol,2021,N/A,N/A,6LU1.cif,emd_0977.map.gz
6LY5,BCR,ELECTRON MICROSCOPY,2.38,Chaetoceros neogracilis,240364,EMD-30012,Structural basis for energy transfer in a huge diatom PSI-FCPI supercomplex.,"Xu, C., Pi, X., Huang, Y., Han, G., Chen, X., Qin, X., Huang, G., Zhao, S., Yang, Y., Kuang, T., Wang, W., Sui, S.F., Shen, J.R.",Nat Commun,2020,N/A,N/A,6LY5.cif,emd_30012.map.gz
6NWA,BCR,ELECTRON MICROSCOPY,3.48,Synechocystis sp. PCC 6803,1148,EMD-0524,The structure of the stress-induced photosystem I-IsiA antenna supercomplex.,"Toporik, H., Li, J., Williams, D., Chiu, P.L., Mazor, Y.",Nat.Struct.Mol.Biol.,2019,N/A,N/A,6NWA.cif,emd_0524.map.gz
6PFY,BCR,X-RAY DIFFRACTION,2.9,Thermosynechococcus vestitus BP-1,197221,N/A,Membrane protein megahertz crystallography at the European XFEL.,"Gisriel, C., Coe, J., Letrun, R., Yefanov, O.M., Luna-Chavez, C., Stander, N.E., Lisova, S., Mariani, V., Kuhn, M., Aplin, S., Grant, T.D., Dorner, K., Sato, T., Echelmeier, A., Cruz Villarreal, J., Hunter, M.S., Wiedorn, M.O., Knoska, J., Mazalova, V., Roy-Chowdhury, S., Yang, J.H., Jones, A., Bean, R., Bielecki, J., Kim, Y., Mills, G., Weinhausen, B., Meza, J.D., Al-Qudami, N., Bajt, S., Brehm, G., Botha, S., Boukhelef, D., Brockhauser, S., Bruce, B.D., Coleman, M.A., Danilevski, C., Discianno, E., Dobson, Z., Fangohr, H., Martin-Garcia, J.M., Gevorkov, Y., Hauf, S., Hosseinizadeh, A., Januschek, F., Ketawala, G.K., Kupitz, C., Maia, L., Manetti, M., Messerschmidt, M., Michelat, T., Mondal, J., Ourmazd, A., Previtali, G., Sarrou, I., Schon, S., Schwander, P., Shelby, M.L., Silenzi, A., Sztuk-Dambietz, J., Szuba, J., Turcato, M., White, T.A., Wrona, K., Xu, C., Abdellatif, M.H., Zook, J.D., Spence, J.C.H., Chapman, H.N., Barty, A., Kirian, R.A., Frank, M., Ros, A., Schmidt, M., Fromme, R., Mancuso, A.P., Fromme, P., Zatsepin, N.A.",Nat Commun,2019,N/A,N/A,6PFY.cif,N/A
6PGK,BCR,X-RAY DIFFRACTION,2.9,Thermosynechococcus vestitus BP-1,197221,N/A,Membrane protein megahertz crystallography at the European XFEL.,"Gisriel, C., Coe, J., Letrun, R., Yefanov, O.M., Luna-Chavez, C., Stander, N.E., Lisova, S., Mariani, V., Kuhn, M., Aplin, S., Grant, T.D., Dorner, K., Sato, T., Echelmeier, A., Cruz Villarreal, J., Hunter, M.S., Wiedorn, M.O., Knoska, J., Mazalova, V., Roy-Chowdhury, S., Yang, J.H., Jones, A., Bean, R., Bielecki, J., Kim, Y., Mills, G., Weinhausen, B., Meza, J.D., Al-Qudami, N., Bajt, S., Brehm, G., Botha, S., Boukhelef, D., Brockhauser, S., Bruce, B.D., Coleman, M.A., Danilevski, C., Discianno, E., Dobson, Z., Fangohr, H., Martin-Garcia, J.M., Gevorkov, Y., Hauf, S., Hosseinizadeh, A., Januschek, F., Ketawala, G.K., Kupitz, C., Maia, L., Manetti, M., Messerschmidt, M., Michelat, T., Mondal, J., Ourmazd, A., Previtali, G., Sarrou, I., Schon, S., Schwander, P., Shelby, M.L., Silenzi, A., Sztuk-Dambietz, J., Szuba, J., Turcato, M., White, T.A., Wrona, K., Xu, C., Abdellatif, M.H., Zook, J.D., Spence, J.C.H., Chapman, H.N., Barty, A., Kirian, R.A., Frank, M., Ros, A., Schmidt, M., Fromme, R., Mancuso, A.P., Fromme, P., Zatsepin, N.A.",Nat Commun,2019,N/A,N/A,6PGK.cif,N/A
6PNJ,BCR,ELECTRON MICROSCOPY,3.19,Fischerella thermalis PCC 7521,98439,EMD-20397,The structure of Photosystem I acclimated to far-red light illuminates an ecologically important acclimation process in photosynthesis,"Gisriel, C., Shen, G., Kurashov, V., Ho, M.Y., Zhang, S., Williams, D., Golbeck, J.H., Fromme, P., Bryant, D.A.",Sci Adv,2020,N/A,N/A,6PNJ.cif,emd_20397.map.gz
6QPH,BCR,X-RAY DIFFRACTION,3.4,Dunaliella salina,3046,N/A,Structure of a minimal photosystem I from the green alga Dunaliella salina.,"Perez-Boerema, A., Klaiman, D., Caspy, I., Netzer-El, S.Y., Amunts, A., Nelson, N.",Nat.Plants,2020,N/A,N/A,6QPH.cif,N/A
6RHZ,BCR,ELECTRON MICROSCOPY,3.2,Dunaliella salina,3046,EMD-4883,Structure of a minimal photosystem I from the green alga Dunaliella salina.,"Perez-Boerema, A., Klaiman, D., Caspy, I., Netzer-El, S.Y., Amunts, A., Nelson, N.",Nat.Plants,2020,N/A,N/A,6RHZ.cif,emd_4883.map.gz
6RQF,BCR,ELECTRON MICROSCOPY,3.58,Spinacia oleracea,3562,EMD-4981,Cryo-EM structure of the spinach cytochrome b6f complex at 3.6 angstrom resolution.,"Malone, L.A., Qian, P., Mayneord, G.E., Hitchcock, A., Farmer, D.A., Thompson, R.F., Swainsbury, D.J.K., Ranson, N.A., Hunter, C.N., Johnson, M.P.",Nature,2019,N/A,N/A,6RQF.cif,emd_4981.map.gz
6SL5,BCR,ELECTRON MICROSCOPY,2.84,Dunaliella salina,3046,EMD-10236,Structure and energy transfer pathways of the Dunaliella Salina photosystem I supercomplex.,"Caspy, I., Malavath, T., Klaiman, D., Fadeeva, M., Shkolnisky, Y., Nelson, N.",Biochim Biophys Acta Bioenerg,2020,N/A,N/A,6SL5.cif,emd_10236.map.gz
6TCL,BCR,ELECTRON MICROSCOPY,3.2,Nostoc sp. PCC 7120 = FACHB-418,103690,EMD-10461,Distinct structural modulation of photosystem I and lipid environment stabilizes its tetrameric assembly.,"Chen, M., Perez-Boerema, A., Zhang, L., Li, Y., Yang, M., Li, S., Amunts, A.",Nat.Plants,2020,N/A,N/A,6TCL.cif,emd_10461.map.gz
6TJV,BCR,ELECTRON MICROSCOPY,3.2,Thermosynechococcus vestitus BP-1,197221,EMD-10513,Redox-coupled proton pumping drives carbon concentration in the photosynthetic complex I.,"Schuller, J.M., Saura, P., Thiemann, J., Schuller, S.K., Gamiz-Hernandez, A.P., Kurisu, G., Nowaczyk, M.M., Kaila, V.R.I.",Nat Commun,2020,N/A,N/A,6TJV.cif,emd_10513.map.gz
6TRA,BCR,ELECTRON MICROSCOPY,2.85,Thermosynechococcus vestitus BP-1,197221,EMD-10557,Current limits of structural biology: The transient interaction between cytochrome c6 and photosystem I,"Koelsch, A., Radon, C., Golub, M., Baumert, A., Burger, J., Miehlke, T., Lisdat, F., Feoktystov, A., Pieper, J., Zouni, A., Wendler, P.",Curr.Opin.Struct.Biol.,2020,N/A,N/A,6TRA.cif,emd_10557.map.gz
6TRC,BCR,ELECTRON MICROSCOPY,2.98,Thermosynechococcus vestitus BP-1,197221,EMD-10558,Current limits of structural biology: The transient interaction between cytochrome c6 and photosystem I,"Koelsch, A., Radon, C., Golub, M., Baumert, A., Burger, J., Miehlke, T., Lisdat, F., Feoktystov, A., Pieper, J., Zouni, A., Wendler, P.",Curr.Opin.Struct.Biol.,2020,N/A,N/A,6TRC.cif,emd_10558.map.gz
6TRD,BCR,ELECTRON MICROSCOPY,3.16,Thermosynechococcus vestitus BP-1,197221,EMD-10559,Current limits of structural biology: The transient interaction between cytochrome c6 and photosystem I,"Koelsch, A., Radon, C., Golub, M., Baumert, A., Burger, J., Miehlke, T., Lisdat, F., Feoktystov, A., Pieper, J., Zouni, A., Wendler, P.",Curr.Opin.Struct.Biol.,2020,N/A,N/A,6TRD.cif,emd_10559.map.gz
6UZV,BCR,ELECTRON MICROSCOPY,3.1,Synechocystis sp. PCC 6803 substr. Kazusa,1111708,EMD-20963,The structure of a red-shifted photosystem I reveals a red site in the core antenna.,"Toporik, H., Khmelnitskiy, A., Dobson, Z., Riddle, R., Williams, D., Lin, S., Jankowiak, R., Mazor, Y.",Nat Commun,2020,N/A,N/A,6UZV.cif,emd_20963.map.gz
6VPV,BCR,ELECTRON MICROSCOPY,2.7,Cyanobacterium aponinum 0216,2676140,EMD-21320,The structure of photosystem I from a high-light tolerant Cyanobacteria.,"Dobson, Z., Ahad, S., Vanlandingham, J., Toporik, H., Vaughn, N., Vaughn, M., Williams, D., Reppert, M., Fromme, P., Mazor, Y.",Elife,2021,N/A,N/A,6VPV.cif,emd_21320.map.gz
6W1O,BCR,X-RAY DIFFRACTION,2.08,Thermosynechococcus vestitus BP-1,197221,N/A,Untangling the sequence of events during the S2→ S3transition in photosystem II and implications for the water oxidation mechanism.,"Ibrahim, M., Fransson, T., Chatterjee, R., Cheah, M.H., Hussein, R., Lassalle, L., Sutherlin, K.D., Young, I.D., Fuller, F.D., Gul, S., Kim, I.S., Simon, P.S., de Lichtenberg, C., Chernev, P., Bogacz, I., Pham, C.C., Orville, A.M., Saichek, N., Northen, T., Batyuk, A., Carbajo, S., Alonso-Mori, R., Tono, K., Owada, S., Bhowmick, A., Bolotovsky, R., Mendez, D., Moriarty, N.W., Holton, J.M., Dobbek, H., Brewster, A.S., Adams, P.D., Sauter, N.K., Bergmann, U., Zouni, A., Messinger, J., Kern, J., Yachandra, V.K., Yano, J.",Proc.Natl.Acad.Sci.USA,2020,N/A,N/A,6W1O.cif,N/A
6W1P,BCR,X-RAY DIFFRACTION,2.26,Thermosynechococcus vestitus BP-1,197221,N/A,Untangling the sequence of events during the S2→ S3transition in photosystem II and implications for the water oxidation mechanism.,"Ibrahim, M., Fransson, T., Chatterjee, R., Cheah, M.H., Hussein, R., Lassalle, L., Sutherlin, K.D., Young, I.D., Fuller, F.D., Gul, S., Kim, I.S., Simon, P.S., de Lichtenberg, C., Chernev, P., Bogacz, I., Pham, C.C., Orville, A.M., Saichek, N., Northen, T., Batyuk, A., Carbajo, S., Alonso-Mori, R., Tono, K., Owada, S., Bhowmick, A., Bolotovsky, R., Mendez, D., Moriarty, N.W., Holton, J.M., Dobbek, H., Brewster, A.S., Adams, P.D., Sauter, N.K., Bergmann, U., Zouni, A., Messinger, J., Kern, J., Yachandra, V.K., Yano, J.",Proc.Natl.Acad.Sci.USA,2020,N/A,N/A,6W1P.cif,N/A
6W1Q,BCR,X-RAY DIFFRACTION,2.27,Thermosynechococcus vestitus BP-1,197221,N/A,Untangling the sequence of events during the S2→ S3transition in photosystem II and implications for the water oxidation mechanism.,"Ibrahim, M., Fransson, T., Chatterjee, R., Cheah, M.H., Hussein, R., Lassalle, L., Sutherlin, K.D., Young, I.D., Fuller, F.D., Gul, S., Kim, I.S., Simon, P.S., de Lichtenberg, C., Chernev, P., Bogacz, I., Pham, C.C., Orville, A.M., Saichek, N., Northen, T., Batyuk, A., Carbajo, S., Alonso-Mori, R., Tono, K., Owada, S., Bhowmick, A., Bolotovsky, R., Mendez, D., Moriarty, N.W., Holton, J.M., Dobbek, H., Brewster, A.S., Adams, P.D., Sauter, N.K., Bergmann, U., Zouni, A., Messinger, J., Kern, J., Yachandra, V.K., Yano, J.",Proc.Natl.Acad.Sci.USA,2020,N/A,N/A,6W1Q.cif,N/A
6W1R,BCR,X-RAY DIFFRACTION,2.23,Thermosynechococcus vestitus BP-1,197221,N/A,Untangling the sequence of events during the S2→ S3transition in photosystem II and implications for the water oxidation mechanism.,"Ibrahim, M., Fransson, T., Chatterjee, R., Cheah, M.H., Hussein, R., Lassalle, L., Sutherlin, K.D., Young, I.D., Fuller, F.D., Gul, S., Kim, I.S., Simon, P.S., de Lichtenberg, C., Chernev, P., Bogacz, I., Pham, C.C., Orville, A.M., Saichek, N., Northen, T., Batyuk, A., Carbajo, S., Alonso-Mori, R., Tono, K., Owada, S., Bhowmick, A., Bolotovsky, R., Mendez, D., Moriarty, N.W., Holton, J.M., Dobbek, H., Brewster, A.S., Adams, P.D., Sauter, N.K., Bergmann, U., Zouni, A., Messinger, J., Kern, J., Yachandra, V.K., Yano, J.",Proc.Natl.Acad.Sci.USA,2020,N/A,N/A,6W1R.cif,N/A
